"w1","w2","loss"
0.855,0.2875,0.00144976513554016
0.86,0.2875,0.00157303504502939
0.865,0.2875,0.00170540258420214
0.87,0.2875,0.00184677717919833
0.875,0.2875,0.00199706857487716
0.88,0.2875,0.00215618683736124
0.885,0.2875,0.00232404235652032
0.89,0.2875,0.00250054584839715
0.895,0.2875,0.0026856083575773
0.9,0.2875,0.0028791412595051
0.7,0.29375,0.00272831021690827
0.705,0.29375,0.00251485522271491
0.71,0.29375,0.00231345290151214
0.715,0.29375,0.00212400554058237
0.72,0.29375,0.00194641561521194
0.725,0.29375,0.00178058579434831
0.73,0.29375,0.00162641894609923
0.735,0.29375,0.00148381814307843
0.74,0.29375,0.00135268666760166
0.745,0.29375,0.00123292801673783
0.75,0.29375,0.00112444590721893
0.755,0.29375,0.00102714428021306
0.76,0.29375,0.000940927305964653
0.765,0.29375,0.000865699388305601
0.77,0.29375,0.000801365169041453
0.775,0.29375,0.000747829532216329
0.78,0.29375,0.000704997608260403
0.785,0.29375,0.000672774778023601
0.79,0.29375,0.000651066676699149
0.795,0.29375,0.000639779197640513
0.8,0.29375,0.00063881849607519
